Date,Volume,avg_price,stocks_income
2004-02-01,194736000.0,15.161988260398239,2952584945.8769116
2004-03-01,283149600.0,14.680514024525753,4156781673.838857
2004-04-01,235590000.0,15.520851767374777,3656557467.875824
2004-05-01,189261400.0,15.140650450661738,2865540701.2028713
2004-06-01,172463800.0,15.456231915747273,2665640489.8710546
2004-07-01,285865800.0,14.22369098422515,4066066802.15831
2004-08-01,222663800.0,13.281382236222061,2957283037.969702
2004-09-01,401326200.0,12.852514649692779,5158050864.805534
2004-10-01,284754200.0,12.066499436063616,3435986393.716746
2004-11-01,310454000.0,12.295864823712673,3817300417.980894
2004-12-01,302644200.0,12.41320725177226,3756785178.1468143
2005-01-01,236828200.0,12.61803407774239,2988306298.17039
2005-02-01,240506400.0,13.035315190582669,3135076729.3523517
2005-03-01,269174000.0,12.955840511177374,3487375413.7556586
2005-04-01,277122600.0,12.96061084165206,3591678174.026807
2005-05-01,204585200.0,13.616024173752233,2785637028.7919354
2005-06-01,221360800.0,13.323703156490524,2949345589.6832676
2005-07-01,241584800.0,13.316229109715353,3216998546.2247615
2005-08-01,237502600.0,13.604235172494803,3231041224.4789643
2005-09-01,282412800.0,13.402938935074832,3785161512.8835015
2005-10-01,270077400.0,13.226501607765044,3572179165.321003
2005-11-01,234491000.0,13.26857391281579,3111361165.390087
2005-12-01,272298200.0,13.072087067827413,3559505778.8126826
2006-01-01,283895000.0,12.75995330423801,3622486943.3066497
2006-02-01,268586600.0,13.034445443955534,3500877384.6775074
2006-03-01,288100400.0,13.263448173393087,3821204724.1338177
2006-04-01,219255800.0,13.129609254236671,2878742980.7250648
2006-05-01,352760800.0,13.676282004102411,4824456180.79277
2006-06-01,291337400.0,13.650999284750833,3977046639.0211673
2006-07-01,251795800.0,13.870357300982239,3492497712.8866634
2006-08-01,208447600.0,14.144075534975494,2948298599.484358
2006-09-01,203829800.0,14.174311085885975,2889146993.773921
2006-10-01,386309000.0,14.617647893877535,5646928940.235937
2006-11-01,303143000.0,14.987817051273831,4543451824.374303
2006-12-01,308352800.0,15.418713028471748,4754403334.725743
2007-01-01,248080400.0,15.565511685577889,3861498365.162837
2007-02-01,329694800.0,15.181571088725597,5005285043.783168
2007-03-01,497973800.0,15.20738932454094,7572881450.021086
2007-04-01,414148400.0,16.311932599394407,6755560786.947035
2007-05-01,411348800.0,17.026790050587508,7003949655.161111
2007-06-01,407538000.0,16.922812662056195,6896689226.669058
2007-07-01,419410800.0,17.382820003801044,7290542444.050199
2007-08-01,464685000.0,17.832597500894657,8286540569.703234
2007-09-01,337784600.0,18.151531882826664,6131307936.427852
2007-10-01,368842400.0,19.594401560513383,7227246098.143501
2007-11-01,386323600.0,20.257583213327834,7825982474.272377
2007-12-01,302636400.0,20.77125679775135,6286138380.746996
2008-01-01,549924400.0,20.19877688933763,11107800261.602863
2008-02-01,377515800.0,19.492285551145812,7358645773.669252
2008-03-01,386203200.0,19.631264810216408,7581657289.75297
2008-04-01,395178800.0,20.017288591591438,7910408084.878795
2008-05-01,441352400.0,19.20466370149878,8476024415.849371
2008-06-01,558294000.0,18.323779017013855,10230055882.524733
2008-07-01,619642400.0,17.152273968351032,10628276207.206558
2008-08-01,379406800.0,18.032259660104202,6841561934.409223
2008-09-01,605888800.0,17.707086930573585,10728525651.860912
2008-10-01,928837400.0,16.08584649773036,14941135837.750973
2008-11-01,582390800.0,14.819775786638118,8630901076.200804
2008-12-01,567212000.0,15.322029080177654,8690838758.625727
2009-01-01,460252400.0,14.906630197098766,6860812324.12718
2009-02-01,490766800.0,14.424837665174554,7079231421.457188
2009-03-01,623111400.0,14.069029616791628,8766572741.160496
2009-04-01,461491600.0,15.110803983586017,6973509107.671485
2009-05-01,547907600.0,15.714686060991497,8610195924.431305
2009-06-01,505408000.0,16.709109301858213,8444917514.033556
2009-07-01,432536800.0,17.18672453939452,7433890834.751179
