Date,Volume,avg_price,stocks_income
2018-12-01,11000,28.024999618530273,308274.995803833
2019-01-01,1600,35.125,56200.0
2019-02-01,2700,30.524999618530273,82417.49897003174
2019-03-01,11600,31.380000114440918,364008.00132751465
2019-04-01,5300,31.300000190734863,165890.00101089478
2019-05-01,1500,32.25,48375.0
2019-06-01,2200,31.674999237060547,69684.9983215332
2019-07-01,18600,37.25,692850.0
2019-08-01,10100,30.0,303000.0
2019-09-01,3800,31.5,119700.0
2019-10-01,6900,31.200000762939453,215280.00526428223
2019-11-01,3500,31.0,108500.0
2019-12-01,2300,31.5,72450.0
2020-01-01,12700,30.5,387350.0
2020-02-01,13800,30.114999771118164,415586.99684143066
2020-03-01,27100,21.25,575875.0
2020-04-01,12100,24.795000076293945,300019.50092315674
2020-05-01,52300,26.050000190734863,1362415.0099754333
